formula,defectid,site,Eb_sum,Vr_max,Eg,Ev
Al2O3,0009540,1,10.649135508781395,-2.8945619964631555,5.8646,6.995
Al2O3,0009576,1,10.649135508781395,-2.8945619964631555,5.8647,6.995
Ba1O1,0009594,1,10.180656153899415,-2.8403280769497066,2.095,5.6919
Ca1O1,0009596,1,11.020274752984376,-3.2905001259273035,3.6404,6.9863
Co3O4,0009648,1,,-1.2318970816502175,1.6478,4.1201
Fe1O1,0009684,1,,,1.089,5.0763
Fe2O3,0009808,1,8.29797985593917,-1.2626789622871115,1.8317,3.5343
In2O3,0009889,1,7.4787590664084815,-1.5993795332042406,0.9505,3.7275
Mg1O1,0009973,1,10.345144576146483,-3.116950431898758,4.4752,6.8887
Ni1O1,0010021,1,9.524315417058364,-1.242157708529182,2.3894,3.7973
O1Sr1,0010079,1,10.455647588229251,-3.0678237941146254,3.2796,6.5707
Co1O1,0010389,1,6.3023912519392935,-1.2318970816502175,1.0462,4.2751
Mn1O1,0010438,1,6.3394715728709885,-1.994603679653242,0.7035,4.4315
Co1O1,0010528,1,6.3023912519392935,-1.2318970816502175,1.2341,4.3434
O2Ti1,0010549,1,9.916935239263863,-1.9122077365342869,2.2705,4.9268
Mn1O1,0010576,1,6.3394715728709885,-1.994603679653242,0.8642,4.4297
O2Ti1,0010720,1,9.916935239263863,-1.9122077365342869,1.9186,4.9636
O2Ti1,0010731,1,6.611290159509242,-1.9122077365342869,3.3933,5.9328
Mn1O2,0011671,1,6.759374010733628,-0.433744681701679,0.1764,2.0859
O2Ti1,0011764,1,9.916935239263863,-1.9122077365342869,2.2989,4.9109
O2Ti1,0011764,2,9.916935239263863,-1.9122077365342869,2.2989,5.3669
La2O3,0111542,1,11.780942486549932,-3.100471243274967,3.4842,6.5007
Mn1O2,0125667,1,6.759374010733628,-0.433744681701679,1.3886,2.7443
Mn1O2,0125667,2,6.759374010733628,-0.433744681701679,1.3886,2.145
Co1O2,0187243,1,,,1.2038,1.7236
Fe3O4,0191339,1,,-1.2626789622871115,0.0471,3.3108
Fe3O4,0191339,2,,-1.2626789622871115,0.0471,3.3922
Ce1O2,0289838,1,10.41059977213275,-1.974911567461291,2.0527,3.5104
Ce2O3,0289862,1,17.54628797680421,-3.108762658934736,1.4514,6.4062
Ce2O3,0289862,2,11.697525317869472,-3.108762658934736,1.4514,6.6495
La2O3,0289934,1,17.6714137298249,-3.100471243274967,4.0199,6.3604
La2O3,0289934,2,11.780942486549932,-3.100471243274967,4.0199,6.7049
Nb2O5,0290102,1,9.565386011432926,-1.6041816447738562,2.6936,5.3318
Nb2O5,0290102,2,9.565386011432926,-1.6041816447738562,2.6936,4.7876
Nb2O5,0290102,3,14.348079017149388,-1.6041816447738562,2.6936,5.8008
Nb2O5,0290125,1,9.565386011432926,-1.6041816447738562,2.0917,5.8598
Nb2O5,0290125,2,14.348079017149388,-1.6041816447738562,2.0917,5.3219
Nb2O5,0290125,3,9.565386011432926,-1.6041816447738562,2.0917,4.3313
O3Y2,0290296,1,12.09464451327518,-3.290655589970924,3.7932,6.5735
