formula,defectid,site,Eb_sum,Vr_max,Eg,Ev
Al2Co1O4,0009491,1,9.56244944457087,-1.2318970816502175,3.1976,6.2195
Al2Mg1O4,0009494,1,9.711042394277127,-2.8945619964631555,5.1431,6.8115
Al2Ni1O4,0009499,1,9.574237534429107,-1.242157708529182,2.6004,6.2466
Al2Ni1O4,0009499,2,8.49933956007682,-1.242157708529182,2.6004,5.5104
Al2O3,0009540,1,10.649135508781395,-2.8945619964631555,5.8646,6.995
Al2Mn1O4,0009572,1,9.571719524803793,-1.994603679653242,3.0524,6.1385
Al2O3,0009576,1,10.649135508781395,-2.8945619964631555,5.8647,6.995
Ba1O1,0009594,1,10.180656153899415,-2.8403280769497066,2.095,5.6919
Ca1O1,0009596,1,11.020274752984376,-3.2905001259273035,3.6404,6.9863
Co3O4,0009648,1,,-1.2318970816502175,1.6478,4.1201
Fe1O1,0009684,1,,,1.089,5.0763
Fe2Mg1O4,0009694,1,7.947675654645458,-1.2626789622871115,1.3811,4.2252
Fe2O3,0009808,1,8.29797985593917,-1.2626789622871115,1.8317,3.5343
In2Mn1O4,0009859,1,7.193937193024108,-1.5993795332042406,1.035,4.2135
In2O3,0009889,1,7.4787590664084815,-1.5993795332042406,0.9505,3.7275
Co1In2O4,0009921,1,7.1846671127911845,-1.2318970816502175,1.0102,4.052
In2Mg1O4,0009931,1,7.333260062497441,-1.5993795332042406,1.8489,4.4126
In2Ni1O4,0009944,1,7.196455202649422,-1.242157708529182,0.4499,3.6058
In2Ni1O4,0009944,2,6.914151338890362,-1.242157708529182,0.4499,3.4805
Mg1O1,0009973,1,10.345144576146483,-3.116950431898758,4.4752,6.8887
Ni1O1,0010021,1,9.524315417058364,-1.242157708529182,2.3894,3.7973
O1Sr1,0010079,1,10.455647588229251,-3.0678237941146254,3.2796,6.5707
Ba1O3Ti1,0010375,1,13.398394262108852,-1.9122077365342869,1.8599,5.3369
Ba1O3Ti1,0010375,2,6.611290159509242,-1.9122077365342869,1.8599,5.4037
Co1O1,0010389,1,6.3023912519392935,-1.2318970816502175,1.0462,4.2751
Mn1O1,0010438,1,6.3394715728709885,-1.994603679653242,0.7035,4.4315
